,job_title,job_location,advertiser,posted_date,salary,type_of_work,job_category,job_subcategory,job_description,job_searched,url,new_job_category,new_job_title,final_salary,experience_level
1196,Business Analyst – Complex Support Needs Branch- 101705A,All-Melbourne-VIC,Ignite,12 Apr 2019,na,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"Our government client is seeking a Business Analyst. As a Business Analyst you will be required to review assigned business processes from end-to-end to identify and address operational, financial and technological risks relating to the Strategic Program you are assigned to and identify opportunities to improve efficiency.  Responsibilities required will include (but may not be limited to): Monitoring and collating data and identifying and prioritising business demands;Analyse data trends and pain points emerging in metrics. Assist in identification of business metric improvements to align metrics to desired business outcomes;Support the creation of consistent Dashboard Management boards across the Branch streams to track key leading and lagging metrics effectively to drive consistent high performance;Preparing high quality performance reports as required;Provide and support the implementation of business solutions by building relationships and partnerships with key stakeholders;Provide support to team members and peers by collaborating with others; articulating ideas and viewpoints to senior management, peers and others; contributing to the resolution of issues; and holding self and team accountable for results;Support CSNP business continuity analysis, design, implementation and validation activities across the pathway. Desirable  Demonstrated experience supporting large scale programs in a Government context.Formal Business Analyst experience with evidence of improvements deliveredMS Excel advanced skills including Macros, Pivot table, VLOOKUP etc. Role based Geelong. Interested? If you have the skills and motivation we are looking for, please Apply Now. For more information, please contact Ronaldo Nicdao on 03 8319 7800 or via email ronaldo.nicdao @ igniteco.com.",data-analyst,https://www.seek.com.au/job/38809818?type=standout&searchrequesttoken=61836f68-689f-4094-a6ba-fca71bdf2490,Information Technology,business analyst,195000.0,Mid_level
1197,Business Development Manager | Health Informatics,All-Melbourne-VIC,Hobson Prior Australia,30 Apr 2019,competitive salary package,Full Time,Healthcare & Medical,Sales,"About the business This is the opportunity to join a successful and innovative organisation within the clinical research/data analytics space. About the role The successful applicant will be responsible for the following:  Develop and implement growth strategies across ANZ Work with Healthcare Providers in Australia and New Zealand Develop KOL management strategies and build relationships with key decision makers Be knowledgeable of the clinical research market Work in collaboration with the global team to maximise growth and expansion in the area The role can be based anywhere in Australia. Skills and Experience The successful applicant will have:  Experience within one of these areas: Real-World-Evidence, Healthcare Informatics (IT), Clinical Research, Life Science, Public Health or Biostatistics Outstanding communication skills and strong business acumen High level of autonomy Self-motivation Sales Experience is desirable but not necessary What's on Offer Great opportunity to join a global organisation and be at the forefront of their expansion into the ANZ market.",data-analyst,https://www.seek.com.au/job/38908404?type=standout&searchrequesttoken=61836f68-689f-4094-a6ba-fca71bdf2490,Gov_Services,business analyst,194740.0,Senior_level
1201,Project Manager Business Initiatives,All-Melbourne-VIC,David Jones,2 May 2019,na,Full Time,Real Estate & Property,Retail & Property Development,"The role
David Jones is on the search for a Project Manager who will manage the design and construction of business & external vendor initiatives to achieve the company strategy.
For success in this role you will positively influence the delivery of these projects by:

Managing the annual programme of business and vendor initiatives across the existing store network
Work closely with the Store Operations teams to ensure store disruption is minimised if not eliminated
Manage project budgets and provide accurate design construction cost estimates
Maintain weekly project development
Tender and award building contracts managing the construction phase
Maintain and grow key relationships with internal and external stakeholders

The successful candidate will possess the following:

Demonstrated experience in tenancy coordination, project management or a similar role
Strong initiative and project management skills
Demonstrated ability manage complex, time-dependent deliverables and work within a fast paced environment whilst balancing competing interests
Strong contract negotiation skills
Ability to work alongside a range of key stakeholders in order to achieve business outcomes
Possess excellent communication skills, both written and spoken
Ability to read and understand plans and technical data

Why work for us?

A competitive remuneration package, including incentives
Generous discounts for you and your immediate family across David Jones with further discounts within our sister brands, Country Road, POLITIX, Trenery, Witchery and MIMCO products.
Excellent career opportunities given upcoming change/transformation projects
A genuine, open and high performing culture
Opportunity to become involved in our Corporate Social Responsibility program, by supporting our community partnerships

About Us
David Jones and the Country Road Group is Australasia’s largest department store and fashion retail group comprising of iconic brands such as David Jones, Country Road, POLITIX, Trenery, Witchery and MIMCO. Part of Woolworths Holding (SA) our values include being Customer Obsessed, Collaborative, Inspirational, Responsible and Dedicated to Quality. We are looking for highly motivated and passionate individuals to be part of the Group’s evolution and support each brand to realise their full potential.",data-analyst,https://www.seek.com.au/job/38932321?type=standout&searchrequesttoken=8cce5898-5d87-4eaf-92c9-66190f0e11a8,Financial Services,business analyst,110240.0,Senior_level
1203,Business Development Manager- Lime,All-Melbourne-VIC,Sibelco,24 Apr 2019,na,Full Time,Sales,New Business Development,"We are currently recruiting for a motivated and experienced Business Development Manager- Limeto support a global leader in the supply of Lime and Limestone products to service industries that include mining, construction, building product and environmental sectors. This permanent fulltime role would ideally be located within the Melbourne vicinity and would service our customers throughout Victoria.  
 Reporting to the Industry Sales Manager, this autonomous position will be responsible for developing new and  existing client relationships, and growing the business across the abovementioned sectors. The candidate will be a ""hunter"" and readily present technical and product information to existing and future customers.
Key responsibilities include;

Achieve sales and order volumes at the target prices within the assigned accounts/territory. 
Build relationships, plan  and develop market and customer business strategy, and maximize business opportunities for all Sibelco products & services within allocated accounts/territory.
Develop & deliver the tactical sales plan for his/her territory that successfully delivers the agreed budgeted commercial      objectives and the marketing strategy.
Provide accurate monthly sales forecasts within defined timelines.
Work collaboratively and proactively with the Sales Manager, Marketing Manager and continually develop the opportunity pipeline by seeking new customer/market opportunities/market and information on products, competitors and market trends.
Organize selling promotional activities/tactics to meet these sales and budget objectives;
Align the customer's needs and Sibelco's operational and supply chain capabilities through close cooperation with operations to      ensure optimum balance of resources and value chain;
Successfully implement the pricing policy for all products in the market stream;
Successfully utilize and apply Commercial Excellence tools and processes;

Requirements;

Proven ability to meet and exceed budgets, generate new leads to increase market share and revenue
Exceptional communication skills with a confident presentation style.Ability to synthesise and present data and trends.
Contract/Tendering experience would be an advantage.
Industrial/technical sales knowledge from the mining, construction or building product industry ideal, though not requirement.

The successful appointment must offer core desired key behaviors and cultural fit, and will be a solutions focused self-starter. This an excellent career role with ample progression opportunities in this growing company.
Applications (cover letter & CV) can be sent via the careers page on our website at www.sibelco.com/careersno later than Wednesday the 8th May 2019.",data-analyst,https://www.seek.com.au/job/38878600?type=standard&searchrequesttoken=8cce5898-5d87-4eaf-92c9-66190f0e11a8,Sales & Marketing,business analyst,120000.0,Senior_level
1205,Senior Data Engineer - FinTech,All-Melbourne-VIC,Oscar Thomas Group,30 Apr 2019,na,Full Time,Information & Communication Technology,Engineering - Software,"Senior Data EngineerCBD - PermanentAwesome SalaryFinTech My client, a leading FinTech organisation are looking to add a Senior Data Engineer to their Analytics Team. They are an business who are very cross functional and look for people who think outside the box. This position will give you scope to add value to new market products and drive positive change. What We Are Looking For:  You must come from a Software Development or a BI/Data Warehousing background Hands on experience with Python or C# Strong cloud experience (Azure preferred, however GCP or AWS is cool too) Exposure to building data lakes within a cloud environment  Have built serverless data pipelines Strong stakeholder engagement  Ability to challenge the status quo   Nice to have:  Commercial experience with either Airflow or Data Vault  If you think you tick all, or most of the above, click apply now, or alternatively call Adam on 0450485804 for a confidential discussion.",data-analyst,https://www.seek.com.au/job/38903381?type=standard&searchrequesttoken=f2444bb6-9f79-43d5-afab-bad76df105b8,Information Technology,data analyst,150000.0,Senior_level
1208,Principal Consultant - Business Transformation,All-Melbourne-VIC,Infosys BPM limited,24 Apr 2019,na,Full Time,Information & Communication Technology,Consultants,"In this role you will be required to manage delivery a step change performance of client operations. The person will be responsible for identifying, designing and delivering initiatives leveraging process re-engineering tools like Lean, Six Sigma and automation and analytics where relevant.  Develop transformation strategy and work-plan for client operations in consultation with Infosys and customer stakeholders Coordinate and leverage broader Infosys teams to support in executing agreed strategy Project manage and implement operational excellence program day to day Hands on with all employees to drive organizational change of the process and culture Work closely with personnel on the shop floor, under executive guidance, to deliver fast paced and meaningful change Implement metrics to track improvements and change behaviors Provide verbal and written progress reports to management and board of directors, monthly Build business cases to justify capex or expense required for operational improvements and efficiency gains Develop standard work across multiple product lines and business units, and implement within multiple operating facilities Support integration efforts for future add-on acquisitions for performance improvement and standard work adoption Integrate quality and safety across daily activities and support a culture of excellence Initiate and cultivate a continuous improvement culture throughout the organization Qualifications and Skills Education / Training Requirements  Bachelor's degree from an accredited college or university required. Lean Manufacturing and/or Six Sigma training and experience preferred, ideally with formal black belt certification Deep exposure in a shared services/ global business services context Project management training and experience preferred Experience working with robotic automation tools and analytics Professional Experience (Minimum and Preferred)  7+ years related experience including 3-4 years in an operational excellence / transformation role Understanding/ exposure in a government set up would be ideal Skill Sets  Methodical and detailed project management skill sets, utilizing tracking tools Creates work plans and task definitions Strong evaluation and analytical capabilities required Strong verbal and written communication skills required; must be able to engage and communicate effectively with shop floor personnel as well as senior leaders Strong grasp of MS Office suite required About Infosys BPM Infosys BPM (www.infosysbpm.com), the business process management subsidiary of Infosys, was set up in April 2002. Infosys BPM focuses on integrated end-to-end outsourcing and delivers transformational benefits to its clients through reduced costs, ongoing productivity improvements, and process re-engineering. Infosys BPM operates in India, Poland, the Czech Republic, the Netherlands, Ireland, South Africa, Brazil, Mexico, Costa Rica, the United States, Puerto Rico, China, the Philippines, Singapore, and Australia. Infosys BPM has been consistently ranked among the leading BPM companies and has received multiple awards and recognitions from key industry bodies and associations. Infosys BPM also has very robust people practices, as substantiated by the various HR-specific awards it has won over the years. The company has consistently been ranked among the top employers of choice, on the basis of its industry leading HR best practices. The company's senior leaders contribute widely to industry forums as BPM strategists. Infosys BPM is an equal opportunity employer and positively encourages applications from suitably qualified and eligible candidates regardless of gender or other attribute covered by equal opportunity legislation.  Please note: In order to protect the interest of all parties involved in the recruitment process, Infosys BPM does not accept any unsolicited resumes from recruitment agencies/third parties. In the absence of a signed agreement any submission will be deemed as non-binding and Infosys explicitly reserves the right to pursue and hire the submitted profile.  All recruitment activity must be coordinated through the Talent Acquisition department.",data-analyst,https://www.seek.com.au/job/38874092?type=standout&searchrequesttoken=35dc4ad8-0793-4ab6-a439-9f4d6c343401,Information Technology,business analyst,120000.0,Mid_level
1209,Solution Architect - Big Data,All-Melbourne-VIC,Finite IT Recruitment Solutions,18 Apr 2019,na,Contract/Temp,Information & Communication Technology,Architects,"Solution Architect·          Strong background in Solution Architecture with solid experience in Solution Design, Roadmapping involving Analytics or Big data technology·          Background in Front end programming language such as ReactJs, AngularJs, Javascript etc.·          Have a DevOps mindset-         background in Agile environmentOur client is a Consultancy firm known globally and has a solid reputation in the market, servicing customers in the finance, retail, telco and several other industries.The primary purpose of this role is to provide strong solution architecture experience to ensure that project objectives are met.This is an outstanding opportunity for a Solution Architect with high interest in Big Data focused projects!Responsibilities will include:·          Knowledge of various technologies that can improve the business·          Manage end to end process, from requirement gathering to delivery·          Proactively manage project issues and deliver business values on a regular basis The successful candidate will enjoy a dynamic and technical working environment in a well-known organisation.  Finite IT Recruitment    specialise in IT. If you are interested in this role, or any IT related opportunities, please apply or contact    Angela    for a confidential discussion at     angelas@finite.com.au    .",data-analyst,https://www.seek.com.au/job/38852223?type=standard&searchrequesttoken=809e8385-bef0-4cfc-a6f3-f8495fbcc145,Information Technology,data analyst,182000.0,Mid_level
1210,Senior Business Analyst - Temp to Perm ,All-Melbourne-VIC,Michael Page Accounting & Finance,15 Apr 2019,SUPER ,Contract/Temp,Accounting,Analysis & Reporting,"Our client is seeking a senior Business Analyst with strong experience in budgeting, profitability and price/volume analysis; partnering with senior management across a portfolio of projects. This is a long term, fixed-term opportunity for 12 months.Client DetailsOur client operates as a well known automotive company, with locations spread throughout the globe.DescriptionMarket analyses for product lines and overall profitabilityBudgeting & forecastingFinancial modellingVariance AnalysisCAPEX managementPricing and volume analysisStreamlining and improving of internal and external reporting.Drive fresh initiatives for financial planning and business intelligence systems.Trend analysisAd hoc project reporting that will enable the leadership team to make strategic and operational decisions.  ProfileProven analytical skill-set across pricing and volumeCPA/CA qualificationExperience working within FMCG, Logistics, Supply Chain or Automotive Industry highly regardedAdvanced Excel skills - macros;Experience with BI tools - PowerBI and TM1 being favourableExperience working with senior decision makersCapable of thinking on your feet, and managing your priorities in a rapidly moving and ever- changing environment  Job OfferJoin part of a well known automotive brandA competitive remuneration packageWork close to homeAn engaging working environmentExcellent career development opportunitiesBenefit from our client's ongoing Learning and Development programsWork alongside senior stakeholders  To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Sibel Oliveira on +61 3 8640 3256.",data-analyst,https://www.seek.com.au/job/38817612?type=standard&searchrequesttoken=809e8385-bef0-4cfc-a6f3-f8495fbcc145,Financial Services,business analyst,137280.0,Senior_level
1212,Data Warehouse Developer,All-Melbourne-VIC,FourQuarters Recruitment,23 Apr 2019,Competitive,Full Time,Information & Communication Technology,Consultants,"Data Warehouse Developer | Melbourne CBD | Permanent PositionAbout the CompanyThe client is a leading Australian fintech based in Melbourne's CBD. They are looking to become more data-driven as a business. The organisation has a flat, agile structure with a great working culture. The business is constantly innovating their products and they want to continue to deliver high quality outcomes for their customers.About the RoleThe Data Warehouse Developer will be part of a small team working on the MS BI full-stack suite with Azure. The role will help improve the data use and reporting functions throughout the whole organisation.Required Experience and Knowledge  Strong SQL server experience Strong SSIS, SSRS and SSAS experience (MS BI Stack) Power BI or similar visualisation tool experience Azure experience a bonus  How to ApplyClick APPLY or contact Zale Stobbs, Big Data, BI & Data Analytics Consultant on (03) 9982 8489 for a confidential discussion.",data-analyst,https://www.seek.com.au/job/38867593?type=standard&searchrequesttoken=08cd203a-595f-48f9-b5ac-0e569e7a1088,Information Technology,data analyst,150000.0,Mid_level
1213,Solution Architect - Big Data,All-Melbourne-VIC,Finite IT Recruitment Solutions,17 Apr 2019,AUD700++  daily rate,Contract/Temp,Information & Communication Technology,Architects,"Solution Architect·          Strong background in Solution Architecture with solid experience in Solution Design, Roadmapping involving Analytics or Big data technology·          Background in Front end programming language such as ReactJs, AngularJs, Javascript etc.·          Have a DevOps mindset-         background in Agile environmentOur client is a Consultancy firm known globally and has a solid reputation in the market, servicing customers in the finance, retail, telco and several other industries.The primary purpose of this role is to provide strong solution architecture experience to ensure that project objectives are met.This is an outstanding opportunity for a Solution Architect with high interest in Big Data focused projects!Responsibilities will include:·          Knowledge of various technologies that can improve the business·          Manage end to end process, from requirement gathering to delivery·          Proactively manage project issues and deliver business values on a regular basis The successful candidate will enjoy a dynamic and technical working environment in a well-known organisation.  Finite IT Recruitment    specialise in IT. If you are interested in this role, or any IT related opportunities, please apply or contact    Angela    for a confidential discussion at     angelas@finite.com.au    .",data-analyst,https://www.seek.com.au/job/38842435?type=standard&searchrequesttoken=9bb73cae-bc42-4692-9926-d5af3d3c0030,Information Technology,data analyst,182000.0,Mid_level
1215,Business Development Manager - Evolve HR Software (SMB),All-Melbourne-VIC,ELMO Software Limited,29 Apr 2019,na,Full Time,Sales,New Business Development,"Since Listing on the ASX in June 2017, we at ELMO Cloud HR and Payroll (ASX:ELO) have gone from strength to strength to establish ourselves as the fastest growing tech company in the region. This makes ELMO a very exciting place to work! As a result of sustained growth, we at ELMO are investing in our ELMO EVOLVE sales team further and growing the team across the region. This team will sell into the vase SME market in the ANZ region (organisations between 50 and 200 headcount). We have several opportunities available for accomplished SaaS Sales Professionals with a proven ability to sell software solutions over the phone effectively, with some face-to-face sales experience. Ideally, candidates will also have been successful in a role where you will have had an activity-based approach to sales, extensive experience in phone-based sales, a “total gun” at prospecting and a proven ability in achieving your sales targets. What is in it for you? In joining ELMO EVOLVE you will become an integral part of the extremely successful ELMO sales team. whilst working autonomously across opportunities throughout ANZ. In addition to this, you will benefit from ongoing formal training and personal development workshops and will be extremely well rewarded for your sales activity, commitment and success. In addition, you will be positioning yourself for more senior roles in line with company growth. What we are looking for!  At least 2 years of SaaS (or related) sales experience is an advantage Impeccable communication skills and highly driven to succeed Cold calling is part of your DNA - you love it! Prospecting on LinkedIn should be second nature to you Most importantly, you are extremely motivated to earn a superior, high income and want to be part of a successful team and company This role will be perfect for an experienced Inside Sales rep or a Lead Generation exec looking for a step up into a larger quota carrying role. More about us We are a leading cloud based, integrated HR & Payroll software company in Australia and New Zealand that provides innovative cloud HR and Payroll technology to more than 1000 organisations across APAC. Our team is constantly and rapidly growing, creating and developing innovative solutions. To achieve our mission, we are driven by solid values and we value our employees’ expertise and uniqueness every day. Become an ELMOnian and enjoy the vast benefits of working for a great organisation going places! Key to this role is an awareness of data privacy and security as you are dealing directly with sensitive data in accordance with ELMO security policies.",data-analyst,https://www.seek.com.au/job/38900098?type=standout&searchrequesttoken=9bb73cae-bc42-4692-9926-d5af3d3c0030,Sales & Marketing,business analyst,120000.0,Senior_level
1218,Implementation Project Manager,All-Melbourne-VIC,SPS Commerce,2 May 2019,na,Full Time,Information & Communication Technology,Programme & Project Management,"POSITION SUMMARY SPS Commerce has an exciting opportunity for you in our  Fulfillment group in a permanent capacity. This is an opportunity to join a fun, dynamic, global, and rapidly growing company. As a Project Manager, you will work within a team of professionals responsible for designing, developing and testing solutions with SPS customers.  You will manage the delivery of our services with customers and will act as the primary technical and non-technical contact until the customer is successfully flowing electronic data.  Core responsibilities also include managing testing and configuration of a system that supports electronic data flow between business retailers and their network of suppliers.   POSITION RESPONSIBILITIES  Create and maintain project work schedules, track customer requirements and translate customer requests into project deliverables Consistent engagement of team members, demonstrating delivery excellence Manage day to day project tasks for implementing SPS Commerce Products and Services from close of sale through handoff to customer support Act as information broker by directing communication to/from team and customers Demonstrate proficiency in service delivery managing multiple projects Coordinate other functional interaction to support implementations of projects Monitor work-flow requirements to meet timelines and quality expectations Ensure quality standards and metrics are being consistently applied in the implementation of projects Demonstrate the ability to proactively prioritize needs and effectively manage resources Perform other projects and responsibilities, as assigned. Be an advocate for positive change and improvement within the organization by identifying and communicating the compelling needs for change/improvement   EXPERIENCE AND SKILLS REQUIRED  Tertiary qualifications are preferred, but not essential 2+ years project management experience Demonstrated understanding of Project Management methodologies Strong problem solving & analytic ability Quality focused; detail oriented; ability to prioritize and multi task Proven ability to handle multiple projects Excellent organizational skills and written/oral communication skills Experience developing processes and managing projects in a technology based service organization desired Demonstrated ability to lead teams and drive external consultants to achieve goals Demonstrated ability to work with minimal supervision while taking initiative and setting priorities in a demanding, fast-paced environment   WHO WE ARE SPS is a rapidly growing, publicly traded company that is reshaping the retail supply chain. We are seeking passionate, hard-working team players interested in working in a fast-paced, ever-changing environment. As a winner of multiple Best Place to Work awards, we embrace the work-hard, play-hard company culture. SPS Commerce offers competitive salaries and a complete benefit package along with great company perks.  With quarterly company-wide events, a casual work environment and over 60 consecutive quarters of growth, SPS is a fun, vibrant place to work that offers dynamic/challenging work in a friendly, team-oriented atmosphere. ",data-analyst,https://www.seek.com.au/job/38932770?type=standout&searchrequesttoken=8eb65201-0bfa-4b3b-8a98-7f3f958be719,Information Technology,data analyst,150000.0,Senior_level
1219,Business Development Manager - Energy,All-Melbourne-VIC,Secure Meters (Australia) Pty Ltd,9 Apr 2019,na,Full Time,Sales,New Business Development,"Our Company:Secure Meters is a market leader in the development, manufacture, and supply of electronic energy meters and associated data services to the Australian energy retail market. We have an excellent reputation globally and nationally we are seeking an additional Business Development Manager to further cultivate our market presence in the energy sector. The Role:As the Business Development Manager(BDM), you will be responsible for engaging with Energy Retailers, through our appointed Meter Providers(MP),  to develop and win business. This is to be achieved through continuous professional contact with existing and/or new clientele at multi levels. The primary BD responsibility is to target and develop new clients resulting in proposal and contracts to drive profitable business. In addition, the BDM will manage an existing customer portfolio to deliver outstanding service and work with these customers to develop ongoing value propositions delivered through the technology. Working with our MP Partners you will be selling a complete metering and data service in a market that has seen Secure attain an excellent reputation and brand within a highly competitive market.  Your key focus will be to expand market share within the Energy Market by identifying opportunities, and securing contracts where our solutions can improve operational efficiency, enable unique value propositions and reduce cost for energy retailers   As part of your role you will also undertake market research in the region to steer product development and competitor intelligence. You will continue to place the Secure brand of products and services in the forefront of retailers by your dealings with key decision makers. You will be required to travel domestically and at times overseas. What's On Offer:A great opportunity to join a strong and expanding business, selling a leading solution with a competitive price point that clients will require long term. A long- term career with growth opportunities and training internally with competitive salary package comprising of base salary, bonus scheme, superannuation, vehicle allowance, phone, laptop   Key Requirements:   Demonstrated 5+ years-experience within the Australian Energy Retail Market   Solid understand of the Australian energy market and statutory frame works. Should possess good techno-commercial acumen and should thoroughly understand the business processes and technologies in order to reduce cost to serve. A keen interest and passion in energy efficiency and the environment Well-presented and confident building relationships with clients Excellent written and verbal communication skills   If you have the drive,  demonstrated experience and desire to achieve APPLY NOW!  Forward you resume to Michelle with a brief covering letter stating why this role is for you ?   Australian permanent residents need only apply.   We thank you for your interest in SECURE METERS (Australia) Pty Ltd. ",data-analyst,https://www.seek.com.au/job/38780776?type=standout&searchrequesttoken=8eb65201-0bfa-4b3b-8a98-7f3f958be719,Sales & Marketing,business analyst,120000.0,Senior_level
1223,Planning and Reporting Manager,All-Melbourne-VIC,Bupa,15 Apr 2019,na,Contract/Temp,Accounting,Financial Managers & Controllers,"We are a world leading Health & Care organisation with over 22,000 people in Australia and New Zealand, and our purpose is to help people live longer, healthier, and happier lives. In Australia, we help to take care of people through our leading health insurance services as well as providing a personalised approach to care through our modern Dental clinic network, our Bupa Optical stores, Bupa Medical Visa services and over 70 Bupa Aged Care Homes. Bupa Therapy, along with our Medical and Wellbeing Centre provide a multidiscipline approach to care.At Bupa our people are transforming and making a difference in the world of health & care. About the opportunityA six-month fixed term contract, the Planning and Reporting Manager plays a key role in the creation, implementation and facilitation of planning and analytics for the Health Insurance (HI) business unit. You will be the key partner and conduit between core finance and the business to assist and influence change. Key stakeholders include Directors, GMs of Health Insurance, the ELT and other key business heads.You will take ownership of the annual operating plan, forecasting, sales incentives and commercial analysis and other ad-hoc pieces of engagement with Finance and the business.Managing one resource, the role will also involve acting as a key member of the team responsible for driving process improvements across HI and providing support and guidance to the Finance Business Partners.Your responsibilities include, but are not limited to:Lead an Analyst to deliver commercial value adding results to the HI businessProvide financial and commercial advice, reporting and planning analytics to Directors of Growth and the Head of HI FinancePlay a leadership role in the strategic direction, design and implementation for growth initiatives for the HI businessProvide monthly management reporting on Health Insurance revenue through collaborating with core finance and reporting to the HILTManager the delivery of the Annual Operating Plan, involving ongoing collaboration with other Finance functionsProvide thought leadership on ad hoc project work that would be beneficial to the growth of the business.Central point of contact for the Planning and Reporting team within Group Financial Control You will be/have:Experience in a similar business finance role within a large complex organization (6+ years)Exposure in leading a large annual operating/budget planning processDemonstrated analytical skills and commercial acumenWell-developed skills in business partnering and effective collaborationStrong written communication skillsKnowledge of private health insurance industry or aged care experience is advantageousAccounting and finance background, with ability to think and analyse commerciallyCA/CPA/CFA/MBA qualification desirable Join usBupa believes in hiring the best talent in the market. We are known for our vibrant, high performing and incredibly rewarding workplace, and we take pride in creating exceptional and meaningful work experiences, encouraging innovation, delivering award winning benefits to our employees and being involved with our communities.Bupa has everything - growth, passion, results and a caring & supportive culture that surround a burning ambition and purpose that is the best in the world.Our people reflect the diversity of our community. At Bupa, your wellbeing, identity and own story is respected and valued.Find the purpose in your career!",data-analyst,https://www.seek.com.au/job/38823368?type=standout&searchrequesttoken=d703c968-9800-4f03-bab0-26bfcfc46b98,Financial Services,data analyst,137199.5,Senior_level
1225,Data Architect,All-Melbourne-VIC,Hays Information Technology,17 Apr 2019,na,Contract/Temp,Information & Communication Technology,Architects,"Experienced Data Architect required for an initial 3 years contract | Major transformation project  Your new company My Government client is seeking an experienced Data Architect for an initial 3 years contract.  Your new role Reporting through to the Chief Architect you will be responsible for leading a major transformation project of their data and enterprise intelligence environment from a bespoke legacy batch environment on internally managed infrastructure to an online internal / cloud-based environment.  What you'll need to succeed To be successful you will require the following skills/ experience: Strong understanding of contemporary and modern data and enterprise intelligence architecture principles and approaches including data warehousing, lakes and marts.Demonstrated broad based data architecture experience incorporating planning, design and delivery and support within medium to large organizations.Strong understanding of ICT data architecture and delivery directions and trends including cloud computing, document and records management, and microservices.Ability to work with ICT and business associates to understand data, reporting and analytics technology drivers and requirements.Practical experience in planning for, evaluating, procuring, integrating, securing and operationalizing business data and applications.High-level communication (interpersonal, verbal and written) and presentation skills to articulate strategies, plans, directions, architectures, and roadmaps to non-technical audiences at all levels.  What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or contact Stephen Dodd on (03) 9604 9505 or stephen.dodd@hays.com.au if you have any questions/ queries.",data-analyst,https://www.seek.com.au/job/38844566?type=standout&searchrequesttoken=86ba58b8-349c-4dbc-b939-4f53682bd940,Information Technology,data analyst,182000.0,Mid_level
1226,Data Engineers - Digital Solutions Scala/Python/AWS,All-Melbourne-VIC,Arq Group,12 Apr 2019,na,Full Time,Information & Communication Technology,Consultants,"Infoready are part of Arq Group, who are Australia’s leading experts in Mobile, Data & Analytics and Cloud, which means we are capable of defining, designing and creating products that solve problems on a large scale. We design platforms that scale across millions of customer, and products that engage across multiple channels. We are looking for Data Engineers and DevOps specialists with experience of solving complex data engineering and architecture challenges preferably with more than one of the three Cloud Vendor offerings,  Microsoft Azure, AWS and Google  platforms. What you get to do  Build the infrastructure required for optimal extraction and loading of data from a wide variety of data sources using SQL, Snowflake, Azure, AWS and Google Cloud ‘big data’ technologies stack. Design and implement architectural patterns for Data to ensure consistency, security, maintainability and flexibility leveraging Cloud platforms and solutions. Design, develop, build and implement public and hybrid cloud based systems within Amazon Web Services (AWS), Microsoft Azure and Google Cloud platform Required Skills Set  Processing frameworks & programming tools: Spark ( Scala/ Python /Java ), Kafka Hadoop platforms & distributions: Cloudera, Hortonworks, MapR, EMR Agile and DevOps delivery practices Data modelling & data pipeline design Cloud platforms: Developing data engineering pipelines on AWS, Azure, GCP, including with Cloud platform PaaS components; Databricks. We are smart thinkers. We solve complex challenges and provide complete solutions for businesses, big and small. From design thinking, leading mobile apps, cloud and analytical insights, digital marketing, to web design. Arq Group is Australia’s leading digital partner.",data-analyst,https://www.seek.com.au/job/38808575?type=standout&searchrequesttoken=31b8e244-037a-46de-a0e1-6887745ea3bd,Information Technology,data analyst,150000.0,Mid_level
1227,Lead Data Insights Consultant ,All-Melbourne-VIC,Davidson Technology,10 Apr 2019,na,Full Time,Information & Communication Technology,Consultants,"One of Australia’s most well recognised organisations is on the lookout for a talented Lead customer insight consultant to lead this first class highly engaged team, you will drive and guide customer experience measurement and analytics. This includes the design, build and execution of analytical models to measure customer experience performance and identify/quantify the drivers of customer advocacy.Skills & Experience:Substantial experience with customer experience measurement systemsExtensive data analytics - expertise with SQL, R and Python viewed favourablyStrong commercial acumen and pragmatic approach with an analytical and strategic mindsetAbility to lead high profile teams and projects with a large number of stakeholders and demandsExpertise to build and leverage these relationships and to influence internal stakeholders and work across the broader team to support customer experience and advocacy effortsDemonstrated ability to work through ambiguity to provide clarity and structureCustomer centric approach and continuous improvement mindset with the technical expertise to underpin itTo apply, click the link and upload your current resume in Microsoft Word format only (.doc or .docx). If you would like to have a confidential discussion, please contact Gabrielle Cassidy on 03 9929 9550, quoting ref no. JO-1904-94601. Want to know more about Davidson? Visit us at www.davidsonwp.com",data-analyst,https://www.seek.com.au/job/38783097?type=standard&searchrequesttoken=31b8e244-037a-46de-a0e1-6887745ea3bd,Information Technology,data analyst,150000.0,Mid_level
